title,artist,lyrics,emotion
Yüzleş,Fuat,"[Verse 1] Karanlıkta başladı atomlar Buldu yolunu azotla 30 milyar Yıl boyunca tuz hazneli göktaşları yağdı Okyanuslar olunca Gaz üretti canlar Soluruz havasını gezegene saygı duy Baz tüketti bedeni konuşur hiçbir şey olmamış gibi Dünya konuşur duy Suda başladı yaşam kurudu Karada insan atası tek hücreli avanak Kavanagh gibi fil üstünde tarih dersi veren usta Müspet kusmak Taş küre manto çekirdek, depremle dalgalanır Şehirler, sel gibi götürdü medeniyetleri Hortum eserini tüy gibi üfler ürper Magnezyum, silisyum, demir merkezi Çekim gelir emir gibi mangalda Sıfır jelatinsin değeri olan her şeyi eritir Kibir bunu bil Bilim durdu, dramla kurgu Birleşti diziler oldu yurdun Kuzuya kurdu, domuzun postu uydu duysun Abes varlık, dipsiz kuyusun Uyusun nesiller, sefilleri oynar Burulur defter neşter bende Büyüsen de gelir gülle atar kalemimden lirikler peşine züppe Neyin peşindeyiz açıkla len? Piyasana tek cevap barisfer Mantık gel gülümse 10 bin kalibre Sağ elin kopar elmas yüzükle [Hook] Çomakla çarka Odakla dansa Çorapla transa Kodakla raksa Boratsa panzer Mario Lanza gibi doğar güneş gözlerimden kanla Mikroyu pasla [Verse 2] Boş kafalara rastgelen bedenlere söylenecek tek harf bilmem Bere gibi karizma başımda cümle Kalem kol beyin punchline süzme dinle Antakya'dan künefe gibi sahi Samatya'dayken benimdi sahil Sokakta kim gezer söyle cahil? Heroin cesaret isteyen cani İlham kaçalı yıllar olmuş Gözleri ilk sözleri sair donmuş Kuş gibi pencereye konar zihnin Sonra da hedonist oldu gitti Ye başını mercek yeksindir erit Aşısı mide asidi 50 cc Şerit kurdu Dansı burgu uydu, ritme vurdu, ansız kurdu, pusu muydu? Sermaye peşinde sanat Genç odasında yörüngesi börülce Beyni yendi bitti Ergen tribi müşteri seçti F.U. motherfuker fick tief! Punchline boynuna biftek pirzola Atışmaya çağır gelmez korkak Otlakla kolpaya çomak da soksan Meeee bir ihtimal war! Dandik mc'ler iyiki varsınız! Mancınık tatar yayı karşılık-sız Sevgimin seni parçalaması ayık kılar kafayı Gözler kayık Sayılı günler gibi geçer özlem Buruksa içi piçin Pis bir bitch'in Malubiyet kafaya dikin Hepsi doydu kanımdan içip! [Hook](x2) ____________________________________________ Rap Genius Türkiye",mutlu
Kır Kalbini Ver Elime,Sagopa Kajmer,"[Intro] What, what? [Verse 1] Sözüm kulaklarına değsin. Duvara vursun başını gücüm Yıllar geçse vakit durur. Alınamayacaktır öcüm Ardıma aldığım dilaverle, başlamıştı büyük göçüm Devler ortasında bi' omzu yere yakın, bi' bücürüm Ah, bu körpelerde kalmamış fikir, akıl Dumanlı bahçelerde aleve ver otu, tipin Johnny Michael Bir tarafta Keloğlanlar, diğer yanda Mevlanalar ""Eski dosttan düşman olmaz!"", bunlar en büyük yalanlar Tilki or'da bir ümitsiz dağla hayal kurarken Nedense ipini kestin, sattın grubunu erken Kalbin neyse, nefretini de kendi elinle şah-mat ettin Ve lakin şimdilerde yediğin tabakları tekmeledin (Yeah) Bana diss atarken eminim ki kullanacaksın Kaf-Kef Cümle sonuna koyacaksın: ""Kaf-Kef senin yerin kenef!"" Üç nankör bir araya gelmiş, çekip gitmiş şeref Esefle kınama görevindeki, yalakalıkla mükellef Rap'te sahte yan, sahte kan, Sahtoman Maslak yalısındakileri bilse ne yapardı resepsyonist baban? Ve ağla lan, Rap hayatın bitti maymun Charlie şarlatan Ve dürzü burası senin havanı alan (Sago lan!) Dürbün, kurşun, palaska postal görcek Gitmediği askeriyede balistik gör'cek mercek Keksin gerzek, kroki ile kalkan batın inecek Bu duruma en çok Çatal Flex sevinecek (Devam!) Allah sizi Sagopa Kajmer şerrinden korusun İllallah'la kaçış dur, Bismillah sana haram gavur Eyvallah'ın sonu, boğaza daim konuk olur Fantezilerini kur! Bosphorus ortasında tek başına osur dur Kendine bir gün kötü gözlerle bak, ayıbını yüzüne vur Aşağıla, dürüst ol, bir kere olsun sınırda dur Yalanla beslenen kulaklarıma, dilersen köpekçe av kur Cihanda üç şey maneviyse: Onur; Huzur; Gurur! [Nakarat] Bak sen şu işe, maneviyata saygıda kusura mı kalmış iki hece? Tepelemesine çık, Sago omzuna yüklen, kır kalbini, ver elime! Bak sen şu işe, maneviyata saygıda kusura mı kalmış iki hece? Tepelemesine çık, Sago omzuna yüklen, kır kalbini, ver elime! Bak sen şu işe, maneviyata saygıda kusura mı kalmış iki hece? Tepelemesine çık, Sago omzuna yüklen, kır kalbini, ver elime! Bak sen şu işe, maneviyata saygıda kusura mı kalmış iki hece? Tepelemesine çık, Sago omzuna yüklen, kır kalbini, ver elime! [Verse 2] Beni devirmek çok kolaysa, tarihinden adımı sil En temiz denizde bile var, gözden ırak koli basili Fil şirindir ama onca sineğin başını ezendir, bil! Ben humusla rahat uyurken, seni saracak kil, bil Sözlerimdir kulaklarına kabartma tozu Her ustanın sırrı gizli sağ elinde saklı kozu Şaşmamakta, şaşı bakışla bakmamakta kantarın dozu (Punchline!) On bin resme dahil olsan, ben veririm en iyi pozu Sahana ceza kestim, ben ağlamazken vurur dilim Benimle Ay'lı, Ben'li konuşma, dilini keserim Rap hayatını tek parçamla bitiririm, yeminliyim! Bundan sonraki kariyerinizde esenlikler dilerim (Esen!) Öyle nankörsün ki buz dağlarını eritemezsin Açık arttırma yapsan bana Rap'ini yediremezsin Rapstar'ım desen, sokak sanatından bihabersin Tek bir ihtimal var desem, yerli yalaka sensin [Nakarat] Bak sen şu işe, maneviyata saygıda kusura mı kalmış iki hece? Tepelemesine çık, Sago omzuna yüklen, kır kalbini, ver elime! Bak sen şu işe, maneviyata saygıda kusura mı kalmış iki hece? Tepelemesine çık, Sago omzuna yüklen, kır kalbini, ver elime! [Outro] Yeah! İki, çift sıfır, beş, yo! Sago-motherfuckin'-pa, ya! Ye man! ________________________________________________ Rap Genius Türkiye",öfke
Çocukluk Anılarım,Tepki,"[Verse 1] Bro... Çocuk anılarım, Manço şarkıları Beni yatığımdan o karşıladı İlk kasetimdi Cartel - Cartel Daha sekiz yaşında gaz ver, gaz ver Beklemek yeni albümleri Run-D.M.C. like that, say günleri Güzel zamanlar, Ankara yılları [?] battle hadi al arkaya kızları Zaman işte öylece geçti Doğduğum kent beni böylece seçti İstanbul'da herkes yabancı Konu müzikse herkes alaycı Yolun başındaydım, biri inandı Rahmetli babam çok iyi adamdı Kulağımda kulaklık, önümde mikrofon Kısacası sanırım, biri kazandı _____________________________________ Rap Genius Türkiye",mutlu
Toplamam Yerde Kalır Kırıntın,Sagopa Kajmer,"[Verse 1: Mozole Mirach] Savaşı korkak izleyen bi' kargasın sen Ve maddiyatçı kaygılara bir çözümse Rap hitaben Damaklarımda donuk odada kalmışsa geceden Bil ki yanındaydı muz kokulu rapper (nebyA) Sanki Rap'te 10 yaş altı beyinlerdesin Kiminlesin bu yolda, söyle kimle dalaşa girersin? Kes sesini, kulakta Disstortion'un nedeni Ve sözlerinin bedeli, bu Kuvvetmira daimi! Galibi belli bu düellonun Diss çöplüğünde pislik istiyorsan Mozo kâbusun Sonun sahte plaka, konun ki uyduruksa keşfet Bil ki rolün yalnızca reklam panolarında Kafanda çok çeşitli fitneler, fesatlık adamın kanına işler Zevzekler keke kekeler, bu bahçelerde taklit sözler, iğneler Kuvvetmira, harp okulundan çıktı en baba Rap'ler [Verse 2: Zet] Yaptığın şey sanat mı Ağzına lolipopu alarak Para kazanmak uğruna? Ceyhun'un kucağında gördüm seni kendi şovunda (Ya!) Metaforlarının anaforunda kaçak elektrik kullandın ""Hızlı konuşcam, Diss'ci olcam."" derken ne di'ce'ni şaşırdın Alkolikle [?] Ne oldu? Özür dilemeye alıştın, kaşındın Basit sözlere kaçıştın Filozofiye el attın Anlamını bilmeden metafizikten bahis açtın Onun bunun hareketlerini çalıp sahnede tiyatro yaptın Hepsini geçtim, sen yanlış insanlara bok attın Yazamadığın rhyme'ları dinlemek ağırına mı gitti lan (Bitch!)? Techno trance bir müzik türü, kimdi burcu burcu Rap yapan? Pardon sen değil miydin askerdeki arkadaşını satan? Her verdiği röportajda kralım diye götü kılıç kalkan Açık seçik ol biraz, çarpıtma kelimelerini (Keke!) Küfür suratına pek yakışmadı, ah bitirdin kendini (Sen!) Kolera, Sago, Sitem, Mozo, Raffine kırdı kalemini (Cart!) Kuvvetmira karargâhında gerçekleştiririm eylemimi! [Verse 3: Sitem Depresif] Yapılan eylem çok komikti, güldük geçtik hâline (Ha!) Gel de konuk ol bahçeme, beat verece'm sahtene Ay-ben mi rapçi oldum (Bilmem!)? Pardon abi! Rap'ini öncelerden (Fu-Schnickens), duydum sanki Sahi, taklit ettin, sen de buralara geldin (Kızım!) Diss'lerin basit kaçardı, her seferde söyledim (Ben!) Gözledim yalanları, sahtekâr yarınlara Lolipop yalamak senin işin, alıştık artık bunlara (Biz!) Nağmelerdi inleyen kafanda (Güm!) Baş ucunda nefretin kaçaktı, duygularsa çok kırıktı (Ya!) Güçlü gördün kendini (Sen!) Lakin çok bitiktin (Sen!) Roka vermiş beat'ini, hadi ya? Çok komiksin (Sen!)! Kaygılar yazıldı kaç kere, içimde saklı nefretim Beslemek kolaydı, gözümde söndü değerin (Fos!) Özverimle yazdım her bi' cümlemi, çok kolaydı Gücümü ondan aldım: Kuvvet'im Mira'ydı [Bridge 1: Sagopa Kajmer] Denge sağla düşme, uçurum öldürür Ve kelle koydu yoluna şeytan, başını döndürür Ve saf niyetli sömürülür Ve Vesvas Hannas, mumunu söndürür Çakalların da gözü de kördür Çok şekerli Rap'lerinde diş çürür (Ne olacak yarının?! İsminin bir hasmının Toplamam yerde kalır kırıntın!) [Verse 4: Raffine] Seni sen yapana ödedin son kiranı Ve aynı hep anlamı boş cümlelerin kimin tarzı? (Senin mi?) Halkın talebi arzu üzerine yazdığın sözlerinde para mı arzun? (Cevap ver!) Boş geri vokalin dahto kara, yıkılır yedi katlı binan Nedir bu sendeki hınç (Hınç!)? Boş sağlı yine tek nefesle sıç (Sıç!) Ya da kır kıçını, kaldıran zaman aşımı (Sıç!) Gerçekleri beynine sok da şaşırt kalın kafanı (Patlat!) Kimlerin eline düşmüş, can çekişmekte iyi-kötü kavramı (Hayat!) Ve yaptığın işin anlamı kalmadı, ettiğim en ağır küfürler yüzüne saklı Kanı bozuk, seni kurbağa suratlı (Kuak-uak)! Çelişki sattı (Sat!), barış diyen yayvan ağzını yırtmalı (Cart!) Bir Çapanoğlu sen mi çıktın memlekette (At suratlı!)? Bu aşağılık duygusuna nasıl alışabildin (Nasıl?)? Bu kaşarlık olgusunu bünyende nasıl taşıyabildin (Ha?)? Bence sen Rap'ine, al da elektrik kablosunu bağla (Tak fişi!) Ağla, burası Kuvvetmira! Cebinde kırık ayna (Dikkat ele batmasın!) Sen misali şu anda, sen misali ağlamalı, sen şu anda (Ha!) Kin güder, çomak biler ben bu anda (Yeah!) [Verse 5: Kolera] Bi' yerini mi kestin acaba? Mis gibi hıyar koktu da! Sahnede sözleri unuttun, ağdasız bacaklarınla (Ay!) Salağa yatma lan, götürecektin Tuğçe'yi, olmasaydı ot kokan Ah, ne farkeder ki çaldı zaten seni bir hanımdan Lütfen ısrar etme artık, öğretemem sana Rap'i (Of!) Çekiştirme kolumdan, alın lan sunu başımdan (Yeter!) Nursuz anmasın veliyi İçinde fitne olan garip, burası sırr-ı imtihan, tek hükümran Bilgin'in cahil kardeşi, kısaca Miss Kompleks (Ha!) Gerçekten sen eskidendin, kul gözünde oldun ex (Ha!) Salla kafana baltayı, oyna evinde Golden Axe (Hıhı!) Ekle süte olur hemen kalorisiz bir Corn Flakes Sen benim mıymıy Rap'ime kes de kafanı kurban et Rap senin neyine kız, gel de karantinamı tavaf et İçinde yanar küfrettiğin, hak aşıkları dikkat et Kula zulüm, Rabb'a küfür, sonun adın tövbe et Yedi sene topa tuttuğun Kolera, hem de hiç tanışmadan Bu ne hiddet, bu ne celal, elimi dahi sıkmadan? B.P.G. 2004, rahmet diler, uyan lan! Kimdi 2005'te para için kemik sızlatan? Koyayım senin yazacağın liriğe, iki adet has kafiye Yüzün kara, için fesat, prim verdim zilline Nenen örnek versin yandan ipi sarkan takkene Cehennem olsun her iki cihan, küfür ettin Rabb'ime [Bridge 2: Kolera] Senin neyine Neyzen? Neyzen bilir işi, ateş yakmaz İbrahim'i Sonun adın olacak tut kendini Şeytanlık lugatte baş çekme eğilimi Senin neyine Neyzen? Neyzen bilir işi, ateş yakmaz İbrahim'i Sonun adın olacak tut kendini Şeytanlık lugatte baş çekme eğilimi Eğilimi, eğilimi, eğilimi [Verse 6: Sagopa Kajmer] Yo! Yo, Sago kastır! Elinden tutmasaydı elim, Bosphorus'dan atlayacaktın Köşeye çekilip yaktığın osuruğunun aleviyle yanacaktın Gurbet elde Allah'ıma küfredip, ele elini açtın Ne yazık ki bir plak dolumu için kıçını [?] sattın (Hey!) Rap'in starı kaydı, bundan iyi cevap Şam'da kayısı İrem'in bahçesinde güller açtı, çekiç kafana çaktı Hayatta bir kez dürüst olun, taktir bilmez insan domuz Nöbetteyken de dinamiti ateşler Yunus Özyavuz Yarattın kâbusu, kirlettin mahrem namusu Açtırdın ya kutunu, söylettin şu Yunus'u Diss piriyle aşık atarsan verilir hicvin kursu Unutma Bilgin dingil: Fazla kurcalarsan yıkılır Sago'nun tabusu Ve Allah iyiliğini versin, felek cezanı kesmesin Kuvvetmira Kalem Harp Okulu'ndan kovulan ilk emeklisin En çömezimle sahnelerde Keke Flex halindesin Unuttuğun tüm sözlerini Tanrı sana geri versin Beat başında küfredersin, sonra ""kankardeşim"" dersin, ne iş? En yakın zamanda bir psikoloğa görünmelisin Barış değil savaşla sahnelerdesin, bebeksin Hayatta karşıma çıkan en zavallı döneksin Kuvvetmira üzerine yakışanı giymektir Yakışmayanı def etmek hobilerimdendir, bu ben demektir Benimle sidik yarışı yapan ancak kektir Bilirsiniz: Sessiz atın çiftesi deve teper ki pektir! Dünya'nın en iyi prodüktörlerinden Mic Check selam eder Geçmişine küfreden tarihi acımasızdır, kolay siler İkinci şarkın benim için olacaksa kulağa varmadan düşer Kalbim eski dosta küser, bu diss bur'da biter ____________________________________________________ Rap Genius Türkiye",öfke
Kumbarada Birikenler,Yener evik,"[İntro] Paranoya var zaten, kuruyo'mda kuruyo'm Kimse bilmiyo' da boğazıma kadar doluyum [Verse 1] Eylül sonu, ekim dedimi Sonbahar geldi gene tuttu elimi Uzun bi' sessizlik, sesi filmi Karadüzen bağlama, bozlak mevsimi Üşümüş dilimi, sıcak çay ısıtmış Rüzgar şarkı söylüyo', adı ıslıkmış Ne güzel di'mi? Hafif ve salınık! Dertlerime yol verdim, yok onlar artık Şimdi saat sekizi azcık geçiyo' Kimi sevap, kimi de haram içiyo' Ben Romeo değilim, Juliet arıyan Sen neye inanmak istersen, ona inan Kısık göz, kısık ses, pazar günü Kerem ve Meriç kardeşimle geçirdim dünü Bu yazımın günlüğü, tüm kışlara Selam olsun kurşuni, kanatlı kuşlara [Hook](x2) Kumbarada biriken, bozukluklar gibi Darmadağın, yalnızken insan İki cümle kursam sonbaharda Sen sansanki, geldi nisan [Verse 2] Yatalak geçirdiğim bir seneye Ekleyiver yazdığım tüm şarkıları Kalplerimiz ya kırık, ya yaralı Ben anladım olayı, yalnızlığa sarılıp Bir yerden tanıdık gelebilir sana Gölgen bile yok, ışıklar kapandığında Konuş'cak bi' şey de kalmadı da sanki Her satırda özlem ve hasret saki Dolduruyo' gırtlağıma kadar yine beni Düşünmüyo'm desem de, düşünüyo'm seni Açtım gene bir paket tütünü yeni İçiyo'm, ciğerime ciğerime seni Neyse ben hiç darılmadım ki sana Harbidende kavuşmadım ki sana Kader nasip böyleymiş be güzelim Tek bastonumla da ben güzelim [Hook](x2) [Outro] Böyle geçiyo' zaman Ağır ağır, sağır sağır Böyle geçiyo' zaman Kalem, kağıt, satır satır Rap ________________________________________ Rap Genius Türkiye",melankoli
Rüyalarım Var,Pit10,"[Verse 1] Metazori optimizm, canım çıkar Bu düzen, güzel olan her olayı yarım kılar Benim beynim farklı ve yüreğim farklı çalışırken O çok bilenler çok yanıldılar Hızla geldi bürüdü gözlerimi karanlık Yürürdüm ileri koşar adım, gözlerimi karartıp Etraf tuzak dolu, ben uzak durup bu pisliği görmeyeyim diye Gözlerimi kapattım Açtığımda aynı manzara; İnsanlar eşya gibi bölünmüş klasmana Dilimi tutamam, elini çekme; kilidi vur prangama Kıyafetler değil kalp olmalı transparan Yürüsem de ne fayda? Gözüken her yol pis! İz bırakan hatalara zaman olur morfin Rüyalarıma bir tek uyuyorken kavuşuyorsam Anladım ki: Ölmek de zor değil! [Hook] Rüyalarım var Elimden almasınlar Uyandırmasınlar Rüyalarım var Elimden almasınlar Uyandırmasınlar [Verse 2] Yadırganır herkes, yargılanır Her gün artarak var olur kaygılarım Eksiler götürürse bütün artıları Gözüm görmez olur o neşeli martıları Bir gün gelip hızla kapanmadan son perde Arardım bi' yardım eli, hani dost nerde? Zaman öğretti bunu, yani yok bence Benim suçum değil, düşlerimdi toz pembe Kabuslar, uyanıkken daha çok beni korkutur Garip bakar gözler; Bir hayli sorgucu Toplum, farklı olanı dışladığını sanarken Aslında farklı olan dışlamıştır toplumu Yolun uzun tarafındayım; Günahlar ve sevapların arafındayım Ama savaşmadan savunmanın çabasındayım Ben rüyalarla kabusların arasındayım [Hook] Rüyalarım var Elimden almasınlar Uyandırmasınlar Rüyalarım var Elimden almasınlar Uyandırmasınlar Rüyalarım var Elimden almasınlar Uyandırmasınlar Rüyalarım var Elimden almasınlar Uyandırmasınlar Rüyalarım var Elimden almasınlar Uyandırmasınlar Rüyalarım var Elimden almasınlar Uyandırmasınlar",umut
İngilizce Türkçe çeviri,Ali (CHE),"ingilizce çeviriİngilizce cümle çevirisi ve Türkçe ingilizce sözlük. Macarca, Farsça, Yunanca, Gürcüce ve Hırvatça noter onaylı tercüme ve ingilizce cümle çevirisi yapabilirsiniz 500 bin kelimelik ingilizce sözlük ile bütün cümlelerin anlarını bu siteden öğreneceksiniz.",melankoli
Pay,Hayki & Patron,"[Verse 1: Hayki & Patron] Sanırım tek bildiğim bok rap, düşününce Ondan ayrı hayatımda yok renk Açıp TV'yi kurcalama çok net! Çünkü Hayk sana satmıyor Pop-Rap Sipariş albüm, ün için fason Ol desem olur musun 3000'e mason? Düş bile değil, senin iş yürü toz ol Boss müşterini kapar, Hayk işleri bozar Odam da çelik kasa yok, o benim yüreğimde Laf etmek istemezsin ekibimin aleyhinde Kendin kadar bizi düşünürsen başarırız Zihninde biriktir bütün serveti boşa bu hırs Biraz da para lazım Daha çok da bana lazım! Çünkü sana kalsa bu iş ölür aman ha, sus! Bize takım gerek sana ana akım Yola devam sorun yok (Yeah motherfucker!) [Hook: Hayki & Patron] Hani bana para, hani-ha-hani bana para? Hani bana pay, hani-ha-ha bana pay? Hani bana para, hani-ha-hani bana para? Hani bana pay, hani-ha-ha bana pay? Hani bana para, hani-ha-hani bana para? Hani bana pay, hani-ha-ha bana pay? Hani bana para, hani-ha-hani bana para? Hani bana pay, hani-ha-ha bana pay? [Verse 2: Patron] Hayk ak, ben siyah ve bu kafa mohikan Biz avlanınca sıçrayacak beyinlere homie kan Bu Rambo bıçağı gibi, Patron ithal yo! Bu nostalji sexy mambo italiano Sözde bizim gibi rap yapacaksınız Geçim derdine düşünce tek kalacaksınız Size karabasan gelir deva Bendeyse endişe yok, para basar benim mekan (Shit!) İlanlara bak arıyor bir sürü yer bus boy! Ne sigortan var, ne işin sana uzak kasko Ve şarkılarına da hayallerini, sen az koy! Çünkü şöhretin yedirir en fazla bir, patso! Hip-Hop için yarışmayın, işte kanka rekor bu! Sizde transkript shit, bende banka dekontu (Yeah!) Ve hiçbir zaman olmaz benim patronum (A!) Motherfucker çünkü ben ölene dek bir patronum (Boss!)! [Hook: Hayki & Patron] Hani bana para, hani-ha-hani bana para? Hani bana pay, hani-ha-ha bana pay? Hani bana para, hani-ha-hani bana para? Hani bana pay, hani-ha-ha bana pay? Hani bana para, hani-ha-hani bana para? (Hani) Hani bana pay, hani-ha-ha bana pay? (Hani) Hani bana para, hani-ha-hani bana para? (Hani) Hani bana pay, hani-ha-ha bana pay? (Hani) ________________________________________ Rap Genius Türkiye",öfke
Hayal Et,Hayki & Patron,"[""Hayal Et"" için şarkı sözleri] [Verse 1: Hayki] Hayal et! Erteleme, kim ne derse desin! Asıl yaşamak besin Doyarsın yesen kesin Akıl basamak basit Bir kalkın masadan gezin de Patron kasadan yesin Sen esir misin ki nesin? Durma çiz bir resim Esinlen Frank Zappa'dan! Aradığın ışıkta ofiste değil, doğada Mesai denen komadan çık, bol adam! Bık paradan Yük sana da Yük bana da Bu paradoks iç ka-na-ma! Sen hayal et ki, üret Sistem için büyük belasın Ne lazım yürekten başka? Aptal değil, dehasın! Velhasıl; zihninde ne varsa senindir ve dahası Mutluluk çatık kaşlıdır ve ciddidir! Dünya küçülür, büyürse hayal gücün İstersen olur, düşün Gitmezsen kalır içinde Sormazsın, ama niçin? Ama niçin, kafa yormi'ca'm? Ortada bir sır yok, düşünmek ilk icat [Nakarat: Hayki] Uyan bu kabustan hemen Kendinle kal bir an evvel Ner'deysen or'da dur ve ha-yal et! Uyan bu kabustan hemen Kendinle kal bir an evvel Ner'deysen or'da dur ve ha-yal et! [Verse 2: Patron] Boss! Yaşamak hayatın gereği çalışmak, okumak, barınmak (şaka mı nedir?!) Gerek yok paraya, yalana, günaha insanız hepimiz (Dahası nedir?!) Belki de kötü bu, insanız hepimiz Adil değiliz, parayı severiz Daha da isteriz, doymayız hiç bu gezegenin katilleriyiz biz (Yabadabadu!) Sömürdükçe acıktık sonunda tüm dünyalılar obeziz Afrika su bulamazken suyu Vegas'ta bitirir zenginin pokeri Ortadoğu'da oynanır savaşlar, bilgisayar oyunu gibi Ağaca neden değer versin herif? Yok insanın bile hiç değeri! Sonunda verecek en fazla bi' canın var, onu da boşuna sıkma! Senin de kendince haklı tarafın var, gelen her soruya kızma! Yolunda yürü sen, kolunda gücün; O sorunca dünü, hiç somurtma gül! (Ha-yal et!) Hayatı kale alma ki Boşuna zorda kalma İmkansız yok hayatta (Ha-yal et!)! [Verse 3: Saian] (Eeh, off başım, bir dakika, bir dakika anlatıcam) (Midem de mi bulanıyor ne?) Yavrum dinle, ben hayaletim, bu da benim işim Ah kusura bakma dün gece biraz içmişim! (off) Şimdi toparlı'ca'm kafamı çok özür (hıck) Ama başlamadan önce gel, seni bir öpeyim (hıck) Bana ""senin işin ne?"" dersen (hmm) Mesela sana yapay mutluluklar sağlarım ama tabii yersen (Haha!) Mesela hımm a-para! Mesela insan kanı içen kırmızı son model bir araba (oh wow!) Mesela tarla, mesela mesela Ha mesela birkaç saatine senin erkek egemenliğinde bir Helga Sana sabah sekiz akşam beş gibi bir iş bile verebilirim Helga Bir sürü paran olmalı çünkü (evet) Çünkü sana satmam gereken daha çok mutluluklar var (daha çok) Çünkü seni daha fazla ve sessiz çalıştırmam gerek (mmh) Bunun için bankaları kurduk her biri güler yüzlü bi' engerek (aah) Ah senin sonunu da düşünmemen lazım (evet) Bunun için de bir dolu TV kanalı, bir dolu program lazım (mm-hm) Sanırım artık hepsi tamam (tamam, tamam) Ben şimdi biraz yatacağım (ah, yatacağım ben) Sizi çok seviyorum! (çok seviyorum) [Nakarat: Hayki] Uyan bu kabustan hemen Kendinle kal bir an evvel Ner'deysen or'da dur ve ha-yal et! Uyan bu kabustan hemen Kendinle kal bir an evvel Ner'deysen or'da dur ve ha-yal et! __________________________________________ Rap Genius Türkiye",mutlu
Oyun,Hayki & Patron,"[Verse 1: Hayki] Şimdi mikrofunu verin Çünkü onun asıl sahibi benim! Hayk yazınca kopartır hepsini gerip Çevir ara menajeri, çekip resmimi verir! Ama yok sana imza Oyundayım yanımdaki Patron Ne etiket, ne barkod var kapakta karton Biz sokakta kurarken albümle bariyer Sen de sahte para gibi delik deşik kariyer Biri bakar ama biri çıkıp malı yer Alıp marijuana içip olun pollyanna Hayk yok deyin beni arayana, açıyorum Sizi tanıdıkça kendimden kaçıyorum Ne daha? Canını feda et sonuncu veda Ne daha? Yaşamak bedava, pahalı mezar, tezat! Zayıfı ez al, payını, ayıp! Feza da huzur, hesapta para da kayıp keza [Hook: Patron] Boom! PMC bu sahnede yeniden! Boom! İlk sırada, gelse de geriden! Boom! Onbeşinci yıl bu rape verilen! Kim destek? Destek! Destek! Destek! [Verse 2: Patron] Ben doğanın sesiyim Cesedim akbabanın yemeği Ve bir karganın gölgesiyim Göğüsümde okyanusun nefesi Aç bir aslanım şimdi ilk hanginizle besleniyim? Nedensizce yürüdüğün yer neresi? Köy yerine silah değil, gerek beyaz tebeşir! Ne için tutarsın elde keleşi? Sen bataklığın gebeşi Zaten yiyeceğini yemişin! Pekala kendi başımızayız Bu evrende su için bile para saymalısın Çünkü yönetir artık dünya'nın kötü sahipleri Ve kullanacak kendi için bütün cahilleri Bu Dünya hepimizin, paylaşmayı bilene Ve kendinden aza birazcık da kendinden verene PMC bir molotof, bir litrelik düzenek Bizim için hayat homie, birlikteysek güzel hep _____________________________________ Rap Genius Türkiye",mutlu
Şampiyon,Hayki & Patron,"[Verse 1: Hayki] Artık şampiyonuz, gurur duy! Bu nam, bu yurda yakıştı ha? Yılda bin çocuk can aldık, hepsi işçi-emekçi Hayat pahalı, insan ucuz! Kaza dedik alıştık ha? Dünya ile yarıştayız, Avrupa da birinci! Haklı sevincimiz, ama kucağına taş bıraktık Her üç çocuktan ikisini öldürüp aç bıraktık Saydım; Elli milyon insan pençesinde sefaleti Uygarlık oldu ismi, cinayetin Devam mı şair? Sahi kaç çocuğumuz evsiz? Kaçı ıslah evlerinde cinsel istismara sessiz? Kaçı adalet zoruyla yirmialtı kere razı kaldı? Taciz ve tecavüzde tüm dünyadan alkış aldık! Ne eğitim, ne güvenlik, ne sağlık hizmeti Bak! Bizi şu Avrupa'da yarıştıran rüşvet illeti! Ben de dinledim yıllardır aynı dırdırı Sorunca yolsuz bulduk yolda yüz kişiden kırıkını Para, baskı, dava, töre hepsi aynı kabus Öldü ana, bacı, çocuk, bebek, temizlendi namus! Algı, gözlem, çözüm Peki bunlar da ne ki? Konu kadına şiddet ise; O zaman Dünya'da tekiz [Verse 2: Hayki] Adalet bir kuştu ve mahkum olup uçtu Hırsa teslim olup düştük Üstümüzden geçti kuşku Okur-yazar, çizer birer potansiyel suçlu Söyle! Aydınlık bir düş mü? Bir de insan hakkı hiç mi? Kalpleriniz taş mı nedir? Kestiğiniz baş mı? Çektiğimiz dert mi nedir? Verdiğiniz ders mi? Bir ülke on bin terör zanlısıyla yaşar mı? İnsan; Kadın, çocuk demez kin savurup saçar mı? Neden? Bir anne bağırıyordu, neden? Öfkesi kan kırmızı, her bedduaya bedel Vurulmuş başından kavgası, nasıl yanmasın? Karayağız bir at öldü, adı kaldı; Ethem! Sorma! Bir sokakta yol kestiler zorla Halkı için koşan bir çocuğu darp ettiler sonra Sorma! Belki bir hayali vardı, rengi masmavi Tekrar ölür müsün desen Korkmaz Ali İsmail Bir cana göz dikip, ecel kılığına girdiler Vakit kör gece bir kara yolda üstüne sürdüler Yere düştüğünde yumruğu sıkık Ve çatıktı kaşı, yirmi idi yaşı Mehmet Ayvalıtaş'ın! Haziran üçtü, düşlediği barıştı, istediği hürriyet Bu da işlediği bir suçtu Senin bilmediğin, bu can benim demez verirdi Abdullah mertti, çünkü Abdullah Cömert'ti! ____________________________________________ Rap Genius Türkiye",öfke
